Striker_ID,Nationality,Footedness,Marital Status,Goals Scored,Assists,Shots on Target,Shot Accuracy,Conversion Rate,Dribbling Success,Movement off the Ball,Hold-up Play,Aerial Duels Won,Defensive Contribution,Big Game Performance,Consistency,Penalty Success Rate,Impact on Team Performance,Off-field Conduct
1,Spain,Left-footed,No,17.48357077,10.77853264,34.79548806,0.677836108,0.166241086,0.7570613,50.92192442,71.80640912,15.68253198,30.41221544,6.152480636,0.820314254,0.922727382,8.570370165,11.45138759
2,France,Left-footed,Yes,14.30867849,13.72824992,31.47243578,0.544881428,0.192774066,0.796818466,61.39614989,53.72686554,19.84398256,26.47491311,6.093171783,0.803320732,0.67898395,3.444638075,8.243688928
3,Germany,Left-footed,No,18.23844269,3.804297279,25.41741259,0.518180112,0.160379004,0.666869162,65.86394467,60.45222709,20.09008436,24.1641161,3.408713655,0.766540366,0.843857929,8.4294913,9.506834947
4,France,Right-footed,No,22.61514928,9.68890771,20.47144256,0.599662554,0.184601924,0.638776327,88.87687657,60.51197902,22.36315173,44.12998912,6.339819617,0.611798243,0.662997337,6.532551884,8.19965263
5,France,Left-footed,Yes,13.82923313,6.048072293,29.8875632,0.582981538,0.105319267,0.591484947,75.56553125,54.98215807,13.16570818,37.85932302,8.465658164,0.701638286,0.906537627,8.414915422,6.665333238
6,Brazil,Right-footed,No,13.82931522,6.538623849,27.7543977,0.554677195,0.210664685,0.617458947,56.64518431,46.27534452,22.96283637,43.79405398,4.451535762,0.834178077,0.774195448,8.553863385,3.516168131
7,Germany,Right-footed,Yes,22.89606408,6.222818227,31.26635254,0.669638745,0.200060274,0.994909443,74.86036289,63.22974504,6.478041842,46.90472686,9.096965302,0.644877997,0.926858324,10.21583012,8.410911374
8,Germany,Right-footed,No,18.83717365,5.408027691,29.44620261,0.695530521,0.159145568,0.824467958,54.52696011,59.38996028,16.85057724,42.65616993,7.975549642,0.496823068,0.849141276,9.706907295,6.448786791
9,Germany,Right-footed,Yes,12.65262807,8.145564884,32.34686901,0.608840689,0.232962283,0.564892563,80.82691054,65.00240469,17.55863079,46.57763176,5.531533356,0.727289399,0.677677977,9.693143325,6.399329188
10,France,Left-footed,Yes,17.71280022,5.507149651,21.25335352,0.747753008,0.246878507,0.567754204,65.28875348,54.66399694,23.16663413,39.30467714,6.716940725,0.735824245,0.942462773,9.887340638,7.002025488
11,Spain,Left-footed,No,12.68291154,8.811370477,34.22175846,0.485831089,0.119622007,0.748186606,69.06363811,72.20821299,20.11315426,28.13006612,10.19664362,0.763556342,0.955124527,7.58275797,11.48972281
12,Germany,Right-footed,No,12.67135123,7.849285672,26.38319723,0.580634054,0.161863761,0.75472648,83.25796648,51.23226219,12.97218473,50.57814181,8.467095627,0.822851864,0.888228649,7.064370174,12.80967508
13,France,Right-footed,No,16.20981136,7.283155859,39.52682611,0.528317768,0.161542883,0.754888384,57.12836431,77.12040284,15.07503437,34.10887867,7.01756731,0.813760581,0.723841213,8.745634166,8.434415875
14,Brazil,Right-footed,No,5.433598777,5.277309014,20.17568527,0.413346338,0.153004845,0.674504421,56.02881815,42.5236349,20.99340005,30.64403701,6.524633366,0.775876981,0.769398605,8.464161903,7.070465552
15,Spain,Left-footed,No,6.375410837,6.269686008,37.15174662,0.591731931,0.241473742,0.687454574,64.16400674,64.34770065,19.60466329,38.22082124,7.153218141,0.869553139,0.814542722,6.381867527,5.645547165
16,Brazil,Right-footed,Yes,12.18856235,10.26617368,26.38537548,0.587825249,0.190308693,0.732787952,80.38378851,64.75430683,17.10437945,30.87189081,5.976472884,0.598103022,0.72962896,7.809646818,8.937080323
17,Spain,Right-footed,No,9.935844398,9.502751563,20.44007397,0.751344974,0.186774258,0.708589301,54.80653925,52.04442932,17.59583105,35.82569618,2.790500989,0.800458181,0.969234657,6.929807066,11.5658112
18,France,Left-footed,Yes,16.57123666,5.067334266,21.61279916,0.663081168,0.099806882,0.478069963,41.67844402,64.24393938,23.48083999,43.44053922,11.08435582,0.812653836,0.814432647,5.292134183,7.505319226
